IdPoi,nombre,localizacion,fbd,IdPueblo,IdUsuario,etiquetas
212,Valdetolilla,0xE6100000010C82548A1D8DC318C037FDD98F14D94440,2012-02-27 17:01:17.070,42,4609,Arboleda
213,Cortes,0xE6100000010C99D6A6B1BDB618C0DC645419C6D74440,2012-02-27 17:04:08.797,42,4609,Valle
214,Arroyo de los Molinos,0xE6100000010C838769DFDCAF18C0570740DCD5D74440,2012-02-27 17:05:51.303,42,4609,Valle
215,El Carbonero,0xE6100000010C04FF5BC98EAD18C058A835CD3BD64440,2012-02-27 17:07:16.977,42,107,Punto Geodésico
216,La Cruz de los Caminos,0xE6100000010CE789E76C01B118C06DAE9AE788D64440,2012-02-27 17:08:09.923,42,4609,Camino
217,Camino la Villa,0xE6100000010CDDEF5014E8B318C04221020EA1D64440,2012-02-27 17:09:04.350,42,4609,Camino
218,Palomar  del  Maestro,0xE6100000010CCF143AAFB1AB18C0A01A2FDD24D64440,2012-02-27 17:12:26.253,42,107,palomar
219,Palomar,0xE6100000010CD23AAA9A20AA18C02E90A0F831D64440,2012-02-27 17:13:15.890,42,107,palomar
220,Palomares en la Corredera,0xE6100000010C5419C6DD20AA18C08BC1C3B46FD64440,2012-02-27 17:15:43.680,42,20212,hay 2
221,El Espinacal,0xE6100000010C92EA3BBF28B118C06E895C7006D74440,2012-02-27 22:12:58.110,42,4609,Valle
222,Iglesia,0xE6100000010C6F0F4240BE9418C0EAB12D03CEE64440,2012-02-27 22:55:45.807,1,NULL,Iglesia Parroquia Monumento
224,Praconcejo,0xE6100000010CCD22145B419318C0847EA65EB7E64440,2012-02-27 23:02:23.773,1,NULL,Plaza Mayor Era Orquesta
225,Fuente,0xE6100000010C87DC0C37E09318C04D83A27900E74440,2012-02-27 23:03:20.760,1,NULL,Agua Manantial Fuente Lavadero
226,Tres Cruces,0xE6100000010C5DE0F258339218C096B036C64EE64440,2012-02-27 23:04:55.637,1,NULL,Tres Cruces
227,Apeadero,0xE6100000010C3C2EAA45449118C0B77EFACF9AE74440,2012-02-27 23:05:29.643,1,NULL,Parada Tren
228,Estación Renfe,0xE6100000010C670E492D947C18C0FBEAAA402DE64440,2012-02-27 23:06:19.440,1,NULL,"Estación Abandonada Renfe "
229,Peña Corbacera,0xE6100000010C0C0742B2807918C0350BB43BA4E64440,2012-02-27 23:06:57.410,1,NULL,"Peña Corbacera "
230,Pilón Fornico,0xE6100000010C3C6A4C88B99418C07C2B1213D4E64440,2012-02-27 23:07:53.600,1,NULL,Pilón Cencerrones Fornico Iglesia Plaza
232,La Raya,0xE6100000010C86E464E256A118C0930035B56CE74440,2012-02-27 23:10:03.623,1,NULL,Frontera Abejera-Riofrio
233,Urbanización Santa Teresa,0xE6100000010C70404B57B05D19C0F7CABC55D7D94440,2012-02-27 23:36:26.847,2,107,Urbanización
234,Polideportivo Municipal,0xE6100000010C06668522DD5F19C07D586FD40AD94440,2012-02-27 23:38:24.343,2,107,Polideportivo
235,Punto Limpio,0xE6100000010CF08AE07F2B6919C0290989B48DD94440,2012-02-27 23:40:36.820,2,107,punto limpio
